Indicator,Country,Date,value
"Cumulative number of confirmed Ebola cases",Guinea,2014-08-29,482.0
"Cumulative number of probable Ebola cases",Guinea,2014-08-29,141.0
"Cumulative number of suspected Ebola cases",Guinea,2014-08-29,25.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-08-29,648.0
"Cumulative number of confirmed Ebola cases",Liberia,2014-08-29,322.0
"Cumulative number of probable Ebola cases",Liberia,2014-08-29,674.0
"Cumulative number of suspected Ebola cases",Liberia,2014-08-29,382.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-08-29,1378.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2014-08-29,935.0
"Cumulative number of probable Ebola cases","Sierra Leone",2014-08-29,37.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2014-08-29,54.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-08-29,1026.0
"Cumulative number of confirmed Ebola cases",Nigeria,2014-08-29,15.0
"Cumulative number of probable Ebola cases",Nigeria,2014-08-29,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2014-08-29,3.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-08-29,19.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2014-08-29,131.0
"Number of probable Ebola cases in the last 21 days",Guinea,2014-08-29,7.0
"Number of suspected Ebola cases in the last 21 days",Guinea,2014-08-29,20.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-08-29,158.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2014-08-29,192.0
"Number of probable Ebola cases in the last 21 days",Liberia,2014-08-29,423.0
"Number of suspected Ebola cases in the last 21 days",Liberia,2014-08-29,251.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-08-29,866.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2014-08-29,308.0
"Number of probable Ebola cases in the last 21 days","Sierra Leone",2014-08-29,4.0
"Number of suspected Ebola cases in the last 21 days","Sierra Leone",2014-08-29,19.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2014-08-29,331.0
"Number of confirmed Ebola cases in the last 21 days",Nigeria,2014-08-29,6.0
"Number of probable Ebola cases in the last 21 days",Nigeria,2014-08-29,1.0
"Number of suspected Ebola cases in the last 21 days",Nigeria,2014-08-29,3.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,2014-08-29,10.0
"Proportion of confirmed Ebola cases that are from the last 21 days",Guinea,2014-08-29,27.0
"Proportion of probable Ebola cases that are from the last 21 days",Guinea,2014-08-29,5.0
"Proportion of suspected Ebola cases that are from the last 21 days",Guinea,2014-08-29,80.0
