Year,Males,Everyone,Females
1968,1118.5,967.3,823.7
1969,1101.8,953.5,812.9
1970,1088.8,944.2,807
1971,1069.6,932.2,801.6
1972,1075.1,938.6,808.9
1973,1065.2,933.5,808.4
1974,1031,906.3,788
1975,1002,878.5,761.5
1976,993.5,877.4,767.5
1977,978.6,864.2,755.8
1978,977.4,868,764.5
1979,957.2,852,752.5
1980,976.5,878,785
1981,953.9,861.9,775
1982,938.2,852.3,771.1
1983,943.2,863.7,788.5
1984,938.4,864.4,794.4
1985,948.2,876.6,808.9
1986,944.4,876.5,812.2
1987,938.8,876,816.4
1988,944.5,886.2,830.7
1989,925.6,870.6,818.4
1990,917.5,863.1,811.3
1991,908.5,857.2,808.4
1992,895.7,847.8,802.1
1993,914.6,872.4,832.1
1994,903.8,865.7,829.4
1995,900.4,868,836.9
1996,882.3,858.8,836.2
1997,864.2,848.4,833.3
1998,855.8,846.7,838
1999,859.2,857,854.9
2000,855,854,853
2001,849.9,848,846
2002,849.8,849.5,849.2
2003,843.9,843.9,843.9
2004,821.6,818.8,816.2
2005,831.7,828.4,825.1
2006,819.6,813.1,806.9
2007,813.1,804.6,796.4
2008,820.3,812.9,805.8
2009,807.2,794.5,782.1
2010,812,799.5,787.4
