1969,100,99.92,97.51,97.47,97.54,97.65,96.04
1970,98.63,97.78,97.16,97.32,96.2,96.51,83.4
1971,93.53,95.26,94.52,94.89,93.53,93.73,89.63
1972,88.86,92.45,94.58,95.14,94.55,94.1,89.51
1973,86.31,90.39,92.85,93.8,92.16,92.96,90.21
1974,81.89,84.89,89.88,89.95,89.1,88.95,86.24
1975,79.09,81.28,86.5,86.56,85.37,84.82,79.88
1976,76.1,76.88,84.56,85.21,83.72,83.82,81.94
1977,76.35,75.41,82.68,82.63,81.74,81.46,78.42
1978,75.92,73.73,81.25,81.38,80.98,80.9,78.98
1979,75.23,72.57,78.5,78.5,78.65,78.34,76.34
1980,75.23,72.72,77.73,78.99,80.42,80.7,81.54
1981,70.94,70.54,76.17,77.65,78.52,77.75,78.74
1982,68.2,66.97,73.06,76.44,77.46,76.72,76.79
1983,65.03,65.3,71.38,76.67,77.6,77.42,78.89
1984,64.09,66.05,69.69,76.1,76.96,76.74,78.56
1985,64.03,67.27,69.12,75.93,76.87,77.15,80.16
1986,64.9,70.67,67.74,74.44,76.07,75.97,79.54
1988,64.03,73.19,65.29,73.56,74.42,75.57,81.3
1990,65.79,74.78,63.01,70.22,71.12,72.43,78.21
1995,51.59,79.23,60.47,64.81,68.44,70.07,77.8
2000,44.87,64.29,56.65,58.21,64.42,68.32,79.21,
2005,44.74,64.25,57.49,52.72,56.65,63.32,76.45
2010,37.83,57.36,54.19,49.98,50.35,57.56,71.1
