Date,close,high,low,open,volume
30-April-2012,231.9000,233.8400,223.0500,223.9500,9756900
01-May-2012,230.0400,232.9700,228.4000,229.4000,6754900
02-May-2012,230.2500,231.4400,227.4000,227.8200,4593400
03-May-2012,229.4500,232.5300,228.0300,229.7400,4055500
04-May-2012,223.9900,229.7200,223.7400,227.8000,4585200
07-May-2012,225.1600,226.8700,222.2900,222.3600,3314300
08-May-2012,223.9000,225.3900,218.2000,223.1500,4522400
09-May-2012,222.9800,225.7800,220.1600,220.5900,3712000
10-May-2012,226.6900,229.0800,221.9500,223.9100,4648400
11-May-2012,227.6800,230.6800,225.7300,225.9500,4193600
14-May-2012,222.9300,227.2900,222.5100,225.6000,3096600
15-May-2012,224.3900,230.6100,223.0000,226.5000,5713700
16-May-2012,224.0600,228.0000,222.5000,225.0000,5261800
17-May-2012,218.3600,226.0000,218.0900,225.0500,4505500
18-May-2012,213.8500,219.6300,212.8100,219.4100,5231700
21-May-2012,218.1100,219.9800,212.8200,214.0300,3579800
22-May-2012,215.3300,218.8700,213.9600,218.3100,3733100
23-May-2012,217.2800,217.5500,211.1800,214.7100,4243800
24-May-2012,215.2400,217.6600,212.7000,216.9800,3141100
25-May-2012,212.8900,215.9800,212.2200,214.9900,2171400
29-May-2012,214.7500,216.5500,212.2900,214.3000,2693900
30-May-2012,209.2300,212.9800,207.7500,212.1400,4078200
31-May-2012,212.9100,213.7900,207.1100,209.4800,4944000
01-June-2012,208.2200,211.2300,207.3000,208.4400,3951500
04-June-2012,214.5700,215.3500,206.3700,207.4000,4299600
05-June-2012,213.2100,216.8600,211.1600,213.8500,3543900
06-June-2012,217.6400,218.4000,214.5200,214.6300,2710100
07-June-2012,218.8000,221.4900,218.1100,219.6500,3503900
08-June-2012,218.4800,219.4200,216.6600,218.6100,2877000
11-June-2012,216.5000,220.8700,215.2000,217.4900,3749100
12-June-2012,216.4200,218.0000,214.5200,217.6500,2833300
13-June-2012,214.7300,217.3800,213.5200,215.5200,2325200
14-June-2012,214.4500,216.5000,212.5600,215.2600,3060900
15-June-2012,218.3500,219.3300,214.4600,215.2900,3785200
18-June-2012,222.6600,223.7600,216.7300,217.2800,3369600
19-June-2012,224.0300,225.2000,221.6600,223.2600,2716600
20-June-2012,223.0200,224.7400,220.8400,224.5100,2444400
21-June-2012,220.5700,226.0300,220.5200,223.8400,2843000
22-June-2012,222.1600,222.5100,219.3500,221.8300,2187500
25-June-2012,220.0700,221.5900,218.0000,220.3000,2382300
26-June-2012,225.6100,226.3900,221.4500,221.4500,3754100
27-June-2012,225.6200,227.5000,223.3000,225.0100,2799200
28-June-2012,221.3100,224.6200,218.7500,223.9200,2994800
29-June-2012,228.3500,228.3500,223.7100,224.7000,3614400
02-July-2012,229.3200,229.3400,226.3400,229.3000,2330700
03-July-2012,229.5300,229.5300,227.5900,229.1400,1331700
05-July-2012,227.0600,230.5000,226.5300,228.6200,2682300
06-July-2012,225.0500,228.9000,224.1800,226.3500,3203200
09-July-2012,225.0500,226.0000,223.4500,225.0000,1922000
10-July-2012,219.5000,227.1400,218.2800,226.2500,2982100
11-July-2012,218.3700,221.7400,215.3400,218.9500,2734700
12-July-2012,215.3600,217.3000,212.6100,216.6100,2616200
13-July-2012,218.3900,219.3100,213.8800,215.6300,2221900
16-July-2012,216.0100,218.3100,214.4600,216.6000,2004200
17-July-2012,216.9300,217.9400,213.9600,217.4500,1987000
18-July-2012,217.4700,218.6700,215.7100,216.1500,2093000
19-July-2012,226.1700,227.5000,220.6900,220.7300,5449400
20-July-2012,228.2900,229.3900,225.2900,225.3600,4170000
23-July-2012,226.0100,226.5800,221.5400,224.7200,5515100
24-July-2012,223.0400,226.6100,221.2300,226.2700,5008700
25-July-2012,217.0500,222.5000,215.9100,222.0000,3646700
26-July-2012,220.0100,221.4500,214.9500,220.0000,6937400
27-July-2012,237.3200,238.3400,224.5000,225.2500,11313900
30-July-2012,236.0900,240.7400,234.0700,237.0000,3736400
31-July-2012,233.3000,236.3000,231.6100,235.1000,3453600
01-August-2012,232.0900,234.3800,230.7000,234.1400,2543800
02-August-2012,230.8100,234.3400,228.6600,230.5600,3048100
03-August-2012,234.9700,236.4900,233.0300,234.0300,2825300
06-August-2012,233.9900,235.7400,233.8100,235.5600,1843700
07-August-2012,236.5600,238.0000,233.2500,234.1300,2058300
08-August-2012,234.3800,236.4500,233.5900,235.2900,1534300
09-August-2012,234.0600,235.9900,233.5000,233.9300,1548100
10-August-2012,232.7500,234.8500,231.4300,233.0800,1852500
13-August-2012,232.4400,234.3700,231.0000,232.2300,1997300
14-August-2012,233.1900,236.7200,232.6200,234.7100,2751000
15-August-2012,237.4200,238.1400,232.2500,232.2600,3264700
16-August-2012,241.5500,242.8200,236.2000,237.7200,4312100
17-August-2012,241.1700,243.3500,240.4700,240.6000,3085800
20-August-2012,240.3500,241.6500,238.2000,241.3700,1889900
21-August-2012,239.4500,243.8500,238.5500,240.8800,2571500
22-August-2012,243.1000,244.9000,238.8000,239.4000,2473700
23-August-2012,241.2000,243.4800,239.0200,242.1400,2453900
24-August-2012,245.7400,246.8700,241.3600,241.6800,3698800
27-August-2012,243.9200,247.5000,243.1200,245.7900,2929700
28-August-2012,246.1100,246.7800,243.0000,243.9700,2742300
29-August-2012,247.1200,247.6100,244.5900,246.7800,1772600
30-August-2012,246.2200,250.0000,245.2500,246.9900,3647500
31-August-2012,248.2700,249.4500,245.5000,248.0700,3347500
04-September-2012,247.8800,251.0000,244.6600,248.2700,3950800
05-September-2012,246.2200,248.6100,245.3000,247.6100,2652600
06-September-2012,251.3800,252.7000,247.2000,248.2300,5361400
07-September-2012,259.1400,259.4200,253.5200,253.8500,5029500
10-September-2012,257.0900,260.0000,256.8200,259.0000,2567200
11-September-2012,255.6700,257.6000,254.2600,257.6000,2524800
12-September-2012,255.6300,257.7800,253.5000,256.5000,2273200
13-September-2012,260.2400,262.0000,253.8000,254.9400,3525600
14-September-2012,261.2700,264.1100,259.7700,261.4000,3666200
17-September-2012,258.0000,261.2500,257.0000,261.2500,2306300
18-September-2012,258.7500,260.5000,257.0000,258.4800,2215000
19-September-2012,261.6800,262.8400,258.5300,259.4500,2636800
20-September-2012,260.8100,260.8700,258.0000,260.0300,2913600
21-September-2012,257.4700,262.0000,256.7400,261.7400,6059300
24-September-2012,254.8000,255.6000,253.0000,255.2200,2707900
25-September-2012,252.4600,258.9500,251.0300,256.3300,4405800
26-September-2012,249.6700,254.6100,248.2300,252.4000,2920500
27-September-2012,256.5900,257.4000,250.5200,250.5400,3397400
28-September-2012,254.3200,257.0000,253.2000,256.1400,2456600
01-October-2012,252.0100,256.1600,250.4900,255.4000,2581200
02-October-2012,250.6000,253.1500,249.0300,252.8000,2195800
03-October-2012,255.9200,256.1000,249.5600,251.2100,2745600
