Team name, Team value, Years Completed, Num Championships, Championships/yr average
Dallas Cowboys,3210.0,55,5,23.18
Washington Redskins,2400.0,83,3,12.22
New York Giants,2100.0,90,4,13.88
Houston Texans,1850.0,13,0,5.0
New York Jets,1810.0,55,1,8.63
Philadelphia Eagles,1750.0,82,0,5.0
Chicago Bears,1700.0,96,1,7.08
New England Patriots,1635.0,55,4,15.90
San Francisco 49ers,1600.0,69,5,19.49
Baltimore Ravens,1500.0,19,2,26.05
Denver Broncos,1450.0,55,2,12.27
Arizona Cardinals,1410.0,95,0,5.0
Indianapolis Colts,1400.0,62,2,11.45
Green Bay Packers,1375.0,96,4,13.33
Pittsburgh Steelers,1350.0,82,6,19.63
Seattle Seahawks,1330.0,30,1,5.0
Miami Dolhins,1300.0,49,2,18.5
Carolina Panthers,1260.0,22,0,5.0
Tampa Bay Buccaneers,1225.0,39,1,10.12
Minnesota Vikings,1150.0,54,0,5.0
Atlanta Falcons,1125.0,50,0,5.0
Cleveland Browns,1120.0,69,0,5.0
Tennessee Titans,1116.0,56,0,5.0
New Orleans Saints,1110.0,58,1,8.44
Kansas City Chiefs,1100.0,55,1,8.63
San Diego Chargers,995.0,55,0,5.0
Cincinnatti Bengals,990.0,47,0,5.0
Oakland Raiders,970.0,55,3,15.90
Jacksonville Jaguars,965.0,20,0,5.0
Detroit Lions,960.0,86,0,5.0
St Louis Rams,938.0,78,1,7.56
Buffalo Bills,935.0,56,0,5.0
